CR_ID,CR_Title,Linked_Jira_ID,Linked_Confluence_ID,CR_State,CR_Requested_By,CR_Team_Assignment_Group,CR_Assigned_To_User,CR_Impacted_Environment,CR_Impacted_Departments,CR_Type,CR_Category,CR_Risk,CR_Risk_Percentage,CR_Lead_Time_Days,CR_Conflict_Status,CR_Description,CR_Start_Date,CR_End_Date,CR_Implementation_Plan_Summary,CR_Backout_Plan_Summary,CR_Updated_By_User_From_CSV_Example,CR_Created_At_From_CSV_Example
CR-FS-012,Purpose rise everybody bit,FEAT-018,CONF-SEC-001,New,Dawn_M,Team Griffin,James_S,Staging,,Emergency,Enhancement,High,75,2,No Conflict,incubate bleeding-edge content extend vertical synergies,2023-10-20,2023-11-12,Popular get me somebody.,Standard rollback,Jason_G,2023-10-20
CR-FS-013,Far term the,,,New,Jessica_D,Team Griffin,Linda_C,N/A,Marketing,Standard,Communication,Medium,31,44,Resolved,drive wireless bandwidth grow seamless systems,2023-12-12,2023-12-21,Tree fill part view.,Summer tree really board.,Joe_T,2023-12-12
CR-FS-014,Range where seven oil morning,NOVA-026,,New,Nicolas_O,Team Griffin,Bradley_S,N/A,Security;Payments;Marketing,Standard,Maintenance,Low,,22,Resolved,disintermediate bleeding-edge bandwidth morph magnetic e-commerce,2023-04-22,2023-05-06,Part because network subject offer pass gas.,Political light whole style you.,Bradley_S,2023-04-24
CR-FS-014,Range where seven oil morning,,CONF-SEC-002,Assess,Phillip_R,Team Griffin,David_T,Production,,Emergency,New Feature,Low,,67,Resolved,enable world-class bandwidth aggregate intuitive vortals,2023-04-22,2023-05-02,Brother form analysis buy million mouth.,Standard rollback,John_H,2023-04-24
CR-FS-015,Region speak Congress pressure,,CONF-SEC-018,New,James_S,Team Hydra,Bradley_S,N/A,Payments;Security;Mobile Banking,Emergency,Infrastructure,Medium,43,79,No Conflict,benchmark transparent e-tailers syndicate customized portals,2023-11-13,2023-11-17,Details in Confluence,Standard rollback,Matthew_D,2023-11-17
CR-FS-015,Region speak Congress pressure,NOVA-045,,Assess,John_H,Team Hydra,John_H,Production,,Emergency,Maintenance,High,41,58,Conflict Detected,mesh clicks-and-mortar platforms matrix integrated e-commerce,2023-11-13,2023-12-14,Mrs north defense policy money part bank.,Probably suddenly night.,Vickie_R,2023-11-17
CR-FS-016,Meet seek later,FEAT-039,CONF-PN-008,New,Maria_E,Team Hydra,Matthew_D,N/A,Mobile Banking;Security;Payments,Emergency,Security,High,81,16,Conflict Detected,generate cutting-edge e-markets integrate intuitive users,2023-04-07,2023-05-20,State election north generation minute walk.,These choose sit certainly.,Vickie_R,2023-04-17
CR-FS-016,Meet seek later,NOVA-067,,Assess,Bradley_S,Team Hydra,Vickie_R,N/A,,Emergency,Infrastructure,Low,,50,No Conflict,brand robust bandwidth transition leading-edge web-readiness,2023-04-07,2023-05-13,Details in Confluence,Mother push later explain.,Bradley_S,2023-04-19
CR-FS-016,Meet seek later,NOVA-008,CONF-SEC-006,Authorise,Nicolas_O,Team Hydra,Linda_C,Production,Mobile Banking;Marketing,Emergency,Communication,Low,65,53,Conflict Detected,empower virtual ROI matrix clicks-and-mortar systems,2023-04-07,2023-04-26,Details in Confluence,Standard rollback,Jennifer_W,2023-04-23
CR-FS-017,Prove physical role,NOVA-054,,New,Frances_B,Team Hydra,John_H,Production,Mobile Banking,Normal,Enhancement,Low,45,15,No Conflict,visualize integrated eyeballs whiteboard efficient models,2023-04-28,2023-07-09,Until college carry.,Standard rollback,Lori_S,2023-05-21
CR-FS-017,Prove physical role,,,Assess,Phillip_R,Team Hydra,Dawn_M,Production,Payments;Core API;Mobile Banking,Normal,Security,Low,,66,Conflict Detected,deploy intuitive supply-chains synergize interactive interfaces,2023-04-28,2023-06-13,Details in Confluence,Standard rollback,Bradley_S,2023-05-24
CR-FS-018,Join election piece call green,,,New,Dawn_M,Team Hydra,Frances_B,Staging,Mobile Banking;Core API,Normal,Security,Low,5,49,Conflict Detected,synergize integrated schemas mesh integrated convergence,2024-01-12,2024-01-29,Details in Confluence,Because within necessary high war first.,Bradley_S,2024-01-21
CR-FS-018,Join election piece call green,,,Assess,Maria_E,Team Hydra,Dawn_M,Development,Payments,Emergency,Deployment,Medium,67,28,Resolved,enable best-of-breed e-services mesh compelling communities,2024-01-12,2024-02-09,Details in Confluence,Standard rollback,James_S,2024-02-02
CR-FS-018,Join election piece call green,,,Authorise,Justin_J,Team Hydra,Alison_S,Development,,Emergency,Audit,Low,1,62,Conflict Detected,enhance out-of-the-box niches re-contextualize out-of-the-box e-business,2024-01-12,2024-02-12,Describe them they sing really week.,Standard rollback,Nicolas_O,2024-02-05
CR-FS-019,Then religious ever,NOVA-002,CONF-SEC-019,New,Lori_S,Team Hydra,Dawn_M,N/A,,Standard,Enhancement,High,6,66,Conflict Detected,deliver mission-critical mindshare embrace clicks-and-mortar communities,2023-04-18,2023-05-03,Details in Confluence,Standard rollback,Vickie_R,2023-04-20
CR-FS-020,Itself career TV,NOVA-047,,New,Jason_G,Team Hydra,John_H,Production,Security;Marketing,Standard,Communication,High,33,54,Resolved,brand global functionalities optimize frictionless mindshare,2023-06-29,2023-07-14,Details in Confluence,Standard rollback,Frances_B,2023-07-10
CR-FS-021,Recognize red one floor lawyer,,,New,Nicolas_O,Team Hydra,Alison_S,Development,,Normal,Audit,Medium,23,90,No Conflict,whiteboard e-business portals transform scalable networks,2023-02-11,2023-03-04,Stand attorney no near word character.,Standard rollback,Justin_J,2023-02-19
CR-FS-022,Put too culture available ability group,,CONF-SEC-011,New,Frances_B,Team Hydra,David_T,Staging,Payments;Mobile Banking;Marketing,Emergency,Infrastructure,Low,,42,Conflict Detected,synergize customized convergence deliver cross-media niches,2023-05-05,2023-05-14,Should large second bag.,Citizen soldier call me.,Bradley_S,2023-05-10
