JIRA_ID,JIRA_Type,JIRA_Priority,JIRA_Components,JIRA_Labels,JIRA_Sprint,JIRA_App_Name,JIRA_Reporter,JIRA_Assignee,JIRA_Start_Date,JIRA_End_Date,JIRA_Status,JIRA_Title,JIRA_Description,JIRA_Release_Fix_Version,JIRA_Team,JIRA_Confidence,JIRA_Created_Date,JIRA_Updated_Date,JIRA_Effort_Story_Points,CR_ID_Link_From_CSV_Example,JIRA_Linked_Issue_ID_Target,JIRA_Link_Type,JIRA_Watcher_User
NOVA-007,Story,Critical,Auth,performance;ProjectNova;sprint-goal,Sprint 4 - General,,Maria_E,Jessica_D,2023-06-02,2023-07-18,Closed,Cultivate end-to-end roi,Cut environment or fight pull account everyone yet TV natural.,v0.4.5-hotfix,Team Griffin,,2023-05-30,2023-06-15,8,,,,
NOVA-007,Story,Critical,Auth,performance;ProjectNova;sprint-goal,Sprint 4 - General,,Maria_E,Jessica_D,2023-06-02,2023-07-18,Closed,Cultivate end-to-end roi,Cut environment or fight pull account everyone yet TV natural.,v0.4.5-hotfix,Team Griffin,,2023-05-30,2023-06-15,8,,NOVA-006,blocks,
NOVA-007,Story,Critical,Auth,performance;ProjectNova;sprint-goal,Sprint 4 - General,,Maria_E,Jessica_D,2023-06-02,2023-07-18,Closed,Cultivate end-to-end roi,Cut environment or fight pull account everyone yet TV natural.,v0.4.5-hotfix,Team Griffin,,2023-05-30,2023-06-15,8,,PERF-005,blocks,
NOVA-008,Project,Medium,Payments;NFC,,Sprint 3 - Infra,,Frances_B,Jason_G,2023-06-29,2023-08-18,Closed,Evolve dot-com infrastructures,Away piece determine course which city agreement surface.,v1.4.2-beta,Team Griffin,94,2023-06-22,2023-08-16,2,,,,
NOVA-009,Story,Minor,Mobile UI;API;Auth,ux;security,Sprint 4 - Infra,AdminPortal,Frances_B,Doris_R,2023-04-12,2023-04-21,Development,Integrate compelling web services,Hundred among reflect follow kitchen quality.,v0.8.1-RC,Team Griffin,69,2023-04-03,2023-04-05,2,,,,
NOVA-009,Story,Minor,Mobile UI;API;Auth,ux;security,Sprint 4 - Infra,AdminPortal,Frances_B,Doris_R,2023-04-12,2023-04-21,Development,Integrate compelling web services,Hundred among reflect follow kitchen quality.,v0.8.1-RC,Team Griffin,69,2023-04-03,2023-04-05,2,,NOVA-007,sub-task of,
NOVA-009,Story,Minor,Mobile UI;API;Auth,ux;security,Sprint 4 - Infra,AdminPortal,Frances_B,Doris_R,2023-04-12,2023-04-21,Development,Integrate compelling web services,Hundred among reflect follow kitchen quality.,v0.8.1-RC,Team Griffin,69,2023-04-03,2023-04-05,2,,NOVA-003,sub-task of,
FEAT-010,Task,Minor,,ProjectNova;ux;performance,Sprint 1 - General,MobileApp_Global,David_T,Vickie_R,2023-06-22,2023-08-06,Closed,Drive b2c architectures,Focus arm skill season quality there treatment floor serious on try.,v0.9.5-RC,Team Phoenix,68,2023-06-20,2023-07-17,2,,,,
FEAT-010,Task,Minor,,ProjectNova;ux;performance,Sprint 1 - General,MobileApp_Global,David_T,Vickie_R,2023-06-22,2023-08-06,Closed,Drive b2c architectures,Focus arm skill season quality there treatment floor serious on try.,v0.9.5-RC,Team Phoenix,68,2023-06-20,2023-07-17,2,,NOVA-004,blocks,
NOVA-011,Epic,Critical,Mobile UI,performance,Sprint 1 - Infra,CoreBankingApp_Wallet,Nicolas_O,Linda_C,2023-04-04,2023-04-17,Release,Transition clicks-and-mortar schemas,Network thought some choose letter suggest.,v0.9.1-beta,Team Phoenix,,2023-03-29,2023-04-11,8,,,,
NOVA-011,Epic,Critical,Mobile UI,performance,Sprint 1 - Infra,CoreBankingApp_Wallet,Nicolas_O,Linda_C,2023-04-04,2023-04-17,Release,Transition clicks-and-mortar schemas,Network thought some choose letter suggest.,v0.9.1-beta,Team Phoenix,,2023-03-29,2023-04-11,8,,,,Nicolas_O
NOVA-012,Business Outcome,Medium,,ux;security,Sprint 4 - Infra,,Jennifer_W,Maria_E,2023-09-12,2023-10-05,Development,Whiteboard customized interfaces,Exist environmental agency employee our yourself gas.,v0.6.4-beta,Team Hydra,,2023-09-12,2023-09-23,5,,,,
NOVA-012,Business Outcome,Medium,,ux;security,Sprint 4 - Infra,,Jennifer_W,Maria_E,2023-09-12,2023-10-05,Development,Whiteboard customized interfaces,Exist environmental agency employee our yourself gas.,v0.6.4-beta,Team Hydra,,2023-09-12,2023-09-23,5,,NOVA-002,cloned by,
NOVA-012,Business Outcome,Medium,,ux;security,Sprint 4 - Infra,,Jennifer_W,Maria_E,2023-09-12,2023-10-05,Development,Whiteboard customized interfaces,Exist environmental agency employee our yourself gas.,v0.6.4-beta,Team Hydra,,2023-09-12,2023-09-23,5,,NOVA-011,sub-task of,
NOVA-012,Business Outcome,Medium,,ux;security,Sprint 4 - Infra,,Jennifer_W,Maria_E,2023-09-12,2023-10-05,Development,Whiteboard customized interfaces,Exist environmental agency employee our yourself gas.,v0.6.4-beta,Team Hydra,,2023-09-12,2023-09-23,5,,,,Maria_E
NOVA-012,Business Outcome,Medium,,ux;security,Sprint 4 - Infra,,Jennifer_W,Maria_E,2023-09-12,2023-10-05,Development,Whiteboard customized interfaces,Exist environmental agency employee our yourself gas.,v0.6.4-beta,Team Hydra,,2023-09-12,2023-09-23,5,,,,Matthew_D
NOVA-012,Business Outcome,Medium,,ux;security,Sprint 4 - Infra,,Jennifer_W,Maria_E,2023-09-12,2023-10-05,Development,Whiteboard customized interfaces,Exist environmental agency employee our yourself gas.,v0.6.4-beta,Team Hydra,,2023-09-12,2023-09-23,5,,,,Alison_S
NOVA-013,Epic,Critical,Database;Payments;NFC,ux,Sprint 3 - Infra,MobileApp_Global,Frances_B,John_H,2024-02-26,2024-03-06,Blocked,Architect world-class architectures,Miss middle effort break of once.,v1.6.1,Team Phoenix,93,2024-02-22,2024-02-23,5,,,,
NOVA-013,Epic,Critical,Database;Payments;NFC,ux,Sprint 3 - Infra,MobileApp_Global,Frances_B,John_H,2024-02-26,2024-03-06,Blocked,Architect world-class architectures,Miss middle effort break of once.,v1.6.1,Team Phoenix,93,2024-02-22,2024-02-23,5,,NOVA-004,cloned by,
NOVA-013,Epic,Critical,Database;Payments;NFC,ux,Sprint 3 - Infra,MobileApp_Global,Frances_B,John_H,2024-02-26,2024-03-06,Blocked,Architect world-class architectures,Miss middle effort break of once.,v1.6.1,Team Phoenix,93,2024-02-22,2024-02-23,5,,,,Matthew_D
LOG-014,Task,Low,NFC;Payments;Mobile UI,ux;security;sprint-goal,Sprint 4 - General,,Vickie_R,Joe_T,2023-05-13,2023-06-02,Review,Revolutionize b2c applications,Rise network recently send southern any politics certainly across fight general.,v1.8.3-RC,Team Hydra,69,2023-05-13,2023-05-20,8,,,,
LOG-014,Task,Low,NFC;Payments;Mobile UI,ux;security;sprint-goal,Sprint 4 - General,,Vickie_R,Joe_T,2023-05-13,2023-06-02,Review,Revolutionize b2c applications,Rise network recently send southern any politics certainly across fight general.,v1.8.3-RC,Team Hydra,69,2023-05-13,2023-05-20,8,,PERF-005,blocks,
PERF-015,Task,Low,,performance;ux,Sprint 3 - Nova,MobileApp_Global,Maria_E,Jennifer_W,2023-10-24,2023-10-27,Blocked,Enable compelling communities,Worker think international anything result trouble politics professional person.,v0.7.0-hotfix,Team Griffin,68,2023-10-15,2023-10-23,21,,,,
PERF-015,Task,Low,,performance;ux,Sprint 3 - Nova,MobileApp_Global,Maria_E,Jennifer_W,2023-10-24,2023-10-27,Blocked,Enable compelling communities,Worker think international anything result trouble politics professional person.,v0.7.0-hotfix,Team Griffin,68,2023-10-15,2023-10-23,21,,NOVA-002,relates to,
PERF-015,Task,Low,,performance;ux,Sprint 3 - Nova,MobileApp_Global,Maria_E,Jennifer_W,2023-10-24,2023-10-27,Blocked,Enable compelling communities,Worker think international anything result trouble politics professional person.,v0.7.0-hotfix,Team Griffin,68,2023-10-15,2023-10-23,21,,NOVA-003,relates to,
PERF-015,Task,Low,,performance;ux,Sprint 3 - Nova,MobileApp_Global,Maria_E,Jennifer_W,2023-10-24,2023-10-27,Blocked,Enable compelling communities,Worker think international anything result trouble politics professional person.,v0.7.0-hotfix,Team Griffin,68,2023-10-15,2023-10-23,21,,,,James_S
PERF-015,Task,Low,,performance;ux,Sprint 3 - Nova,MobileApp_Global,Maria_E,Jennifer_W,2023-10-24,2023-10-27,Blocked,Enable compelling communities,Worker think international anything result trouble politics professional person.,v0.7.0-hotfix,Team Griffin,68,2023-10-15,2023-10-23,21,,,,Justin_J
NOVA-016,Feature,Low,Database;NFC,ux;security;sprint-goal,Sprint 2 - Nova,CoreBankingApp_Wallet,Jennifer_W,Vickie_R,2023-01-17,2023-02-14,Closed,Empower cross-platform functionalities,Leave cold writer occur attention machine hospital chance light.,v0.3.0-hotfix,Team Hydra,50,2023-01-10,2023-01-14,,,,,
NOVA-016,Feature,Low,Database;NFC,ux;security;sprint-goal,Sprint 2 - Nova,CoreBankingApp_Wallet,Jennifer_W,Vickie_R,2023-01-17,2023-02-14,Closed,Empower cross-platform functionalities,Leave cold writer occur attention machine hospital chance light.,v0.3.0-hotfix,Team Hydra,50,2023-01-10,2023-01-14,,,PERF-005,blocks,
NOVA-017,Bug,Critical,Auth;Database;NFC,sprint-goal,Sprint 4 - General,AdminPortal,Joe_T,Bradley_S,2023-06-01,2023-06-16,Open,Morph vertical vortals,Be big candidate couple health your gun fight officer condition rule would good.,v2.8.3-RC,Team Phoenix,,2023-05-23,2023-05-31,8,,,,
NOVA-017,Bug,Critical,Auth;Database;NFC,sprint-goal,Sprint 4 - General,AdminPortal,Joe_T,Bradley_S,2023-06-01,2023-06-16,Open,Morph vertical vortals,Be big candidate couple health your gun fight officer condition rule would good.,v2.8.3-RC,Team Phoenix,,2023-05-23,2023-05-31,8,,NOVA-003,blocks,
NOVA-017,Bug,Critical,Auth;Database;NFC,sprint-goal,Sprint 4 - General,AdminPortal,Joe_T,Bradley_S,2023-06-01,2023-06-16,Open,Morph vertical vortals,Be big candidate couple health your gun fight officer condition rule would good.,v2.8.3-RC,Team Phoenix,,2023-05-23,2023-05-31,8,,,,Jessica_D
FEAT-018,Business Outcome,Major,Mobile UI;NFC,ProjectNova;performance,Sprint 3 - Nova,,Linda_C,Frances_B,2023-06-18,2023-06-28,Review,Utilize one-to-one functionalities,First at fund heavy environment thing explain decide treatment country student yeah lay scene.,v1.5.2-hotfix,Team Griffin,90,2023-06-18,2023-06-18,2,,,,
FEAT-018,Business Outcome,Major,Mobile UI;NFC,ProjectNova;performance,Sprint 3 - Nova,,Linda_C,Frances_B,2023-06-18,2023-06-28,Review,Utilize one-to-one functionalities,First at fund heavy environment thing explain decide treatment country student yeah lay scene.,v1.5.2-hotfix,Team Griffin,90,2023-06-18,2023-06-18,2,,LOG-014,duplicates,
FEAT-018,Business Outcome,Major,Mobile UI;NFC,ProjectNova;performance,Sprint 3 - Nova,,Linda_C,Frances_B,2023-06-18,2023-06-28,Review,Utilize one-to-one functionalities,First at fund heavy environment thing explain decide treatment country student yeah lay scene.,v1.5.2-hotfix,Team Griffin,90,2023-06-18,2023-06-18,2,,NOVA-011,sub-task of,
FEAT-018,Business Outcome,Major,Mobile UI;NFC,ProjectNova;performance,Sprint 3 - Nova,,Linda_C,Frances_B,2023-06-18,2023-06-28,Review,Utilize one-to-one functionalities,First at fund heavy environment thing explain decide treatment country student yeah lay scene.,v1.5.2-hotfix,Team Griffin,90,2023-06-18,2023-06-18,2,,,,Alison_S
FEAT-018,Business Outcome,Major,Mobile UI;NFC,ProjectNova;performance,Sprint 3 - Nova,,Linda_C,Frances_B,2023-06-18,2023-06-28,Review,Utilize one-to-one functionalities,First at fund heavy environment thing explain decide treatment country student yeah lay scene.,v1.5.2-hotfix,Team Griffin,90,2023-06-18,2023-06-18,2,,,,Jason_G
NOVA-019,Task,Medium,Database,ProjectNova;ux;sprint-goal,Sprint 4 - Nova,MobileApp_Global,Linda_C,Jessica_D,2023-03-04,2023-03-12,Closed,Mesh bleeding-edge partnerships,Lawyer day mother address everyone economic born.,v1.1.1-RC,Team Griffin,97,2023-03-04,2023-03-05,5,,,,
NOVA-019,Task,Medium,Database,ProjectNova;ux;sprint-goal,Sprint 4 - Nova,MobileApp_Global,Linda_C,Jessica_D,2023-03-04,2023-03-12,Closed,Mesh bleeding-edge partnerships,Lawyer day mother address everyone economic born.,v1.1.1-RC,Team Griffin,97,2023-03-04,2023-03-05,5,,NOVA-007,cloned by,
NOVA-019,Task,Medium,Database,ProjectNova;ux;sprint-goal,Sprint 4 - Nova,MobileApp_Global,Linda_C,Jessica_D,2023-03-04,2023-03-12,Closed,Mesh bleeding-edge partnerships,Lawyer day mother address everyone economic born.,v1.1.1-RC,Team Griffin,97,2023-03-04,2023-03-05,5,,PERF-005,cloned by,
NOVA-020,Bug,Minor,Auth;Database,,Sprint 4 - General,,Joe_T,Maria_E,2023-04-09,2023-04-21,Closed,Cultivate holistic solutions,Investment certainly happy skin high push.,v2.1.3-RC,Team Griffin,,2023-04-09,2023-04-12,1,,,,
NOVA-021,Story,Critical,Payments;API;Database,,Sprint 1 - General,AdminPortal,Frances_B,Bradley_S,2024-03-01,2024-04-07,Review,Syndicate b2c convergence,Health travel write week show college easy method reduce perform world window.,v1.8.0,Team Griffin,,2024-02-21,2024-02-26,,,,,
NOVA-021,Story,Critical,Payments;API;Database,,Sprint 1 - General,AdminPortal,Frances_B,Bradley_S,2024-03-01,2024-04-07,Review,Syndicate b2c convergence,Health travel write week show college easy method reduce perform world window.,v1.8.0,Team Griffin,,2024-02-21,2024-02-26,,,PERF-005,sub-task of,
NOVA-021,Story,Critical,Payments;API;Database,,Sprint 1 - General,AdminPortal,Frances_B,Bradley_S,2024-03-01,2024-04-07,Review,Syndicate b2c convergence,Health travel write week show college easy method reduce perform world window.,v1.8.0,Team Griffin,,2024-02-21,2024-02-26,,,,,Vickie_R
NOVA-021,Story,Critical,Payments;API;Database,,Sprint 1 - General,AdminPortal,Frances_B,Bradley_S,2024-03-01,2024-04-07,Review,Syndicate b2c convergence,Health travel write week show college easy method reduce perform world window.,v1.8.0,Team Griffin,,2024-02-21,2024-02-26,,,,,David_T
LOG-022,Bug,Medium,NFC;Mobile UI;Payments,,Sprint 5 - General,,Dawn_M,Phillip_R,2023-09-18,2023-09-25,Development,Expedite visionary communities,Guess like very person ready stage sort language various.,v2.7.0,Team Phoenix,56,2023-09-10,2023-09-12,3,,,,
LOG-022,Bug,Medium,NFC;Mobile UI;Payments,,Sprint 5 - General,,Dawn_M,Phillip_R,2023-09-18,2023-09-25,Development,Expedite visionary communities,Guess like very person ready stage sort language various.,v2.7.0,Team Phoenix,56,2023-09-10,2023-09-12,3,,NOVA-012,sub-task of,
LOG-022,Bug,Medium,NFC;Mobile UI;Payments,,Sprint 5 - General,,Dawn_M,Phillip_R,2023-09-18,2023-09-25,Development,Expedite visionary communities,Guess like very person ready stage sort language various.,v2.7.0,Team Phoenix,56,2023-09-10,2023-09-12,3,,PERF-015,blocks,
LOG-022,Bug,Medium,NFC;Mobile UI;Payments,,Sprint 5 - General,,Dawn_M,Phillip_R,2023-09-18,2023-09-25,Development,Expedite visionary communities,Guess like very person ready stage sort language various.,v2.7.0,Team Phoenix,56,2023-09-10,2023-09-12,3,,,,Joe_T
NOVA-023,Bug,Critical,,performance;sprint-goal;security,Sprint 3 - General,MobileApp_Global,David_T,Jessica_D,2024-02-15,2024-03-16,Open,Evolve robust architectures,Fly policy cold statement pretty evening what hard effort.,v1.1.0-hotfix,Team Phoenix,,2024-02-13,2024-03-15,1,,,,
NOVA-023,Bug,Critical,,performance;sprint-goal;security,Sprint 3 - General,MobileApp_Global,David_T,Jessica_D,2024-02-15,2024-03-16,Open,Evolve robust architectures,Fly policy cold statement pretty evening what hard effort.,v1.1.0-hotfix,Team Phoenix,,2024-02-13,2024-03-15,1,,,,Alison_S
NOVA-023,Bug,Critical,,performance;sprint-goal;security,Sprint 3 - General,MobileApp_Global,David_T,Jessica_D,2024-02-15,2024-03-16,Open,Evolve robust architectures,Fly policy cold statement pretty evening what hard effort.,v1.1.0-hotfix,Team Phoenix,,2024-02-13,2024-03-15,1,,,,Bradley_S
NOVA-023,Bug,Critical,,performance;sprint-goal;security,Sprint 3 - General,MobileApp_Global,David_T,Jessica_D,2024-02-15,2024-03-16,Open,Evolve robust architectures,Fly policy cold statement pretty evening what hard effort.,v1.1.0-hotfix,Team Phoenix,,2024-02-13,2024-03-15,1,,,,Phillip_R
NOVA-024,Epic,Low,Database;Auth,tech-debt,Sprint 4 - Infra,,Jessica_D,Jason_G,2023-02-09,2023-03-01,Blocked,Cultivate front-end mindshare,Sign with carry ball side doctor take.,v2.9.3,Team Hydra,,2023-02-06,2023-02-22,,,,,
NOVA-024,Epic,Low,Database;Auth,tech-debt,Sprint 4 - Infra,,Jessica_D,Jason_G,2023-02-09,2023-03-01,Blocked,Cultivate front-end mindshare,Sign with carry ball side doctor take.,v2.9.3,Team Hydra,,2023-02-06,2023-02-22,,,NOVA-001,duplicates,
NOVA-024,Epic,Low,Database;Auth,tech-debt,Sprint 4 - Infra,,Jessica_D,Jason_G,2023-02-09,2023-03-01,Blocked,Cultivate front-end mindshare,Sign with carry ball side doctor take.,v2.9.3,Team Hydra,,2023-02-06,2023-02-22,,,NOVA-011,sub-task of,
NOVA-024,Epic,Low,Database;Auth,tech-debt,Sprint 4 - Infra,,Jessica_D,Jason_G,2023-02-09,2023-03-01,Blocked,Cultivate front-end mindshare,Sign with carry ball side doctor take.,v2.9.3,Team Hydra,,2023-02-06,2023-02-22,,,,,Nicolas_O
NOVA-024,Epic,Low,Database;Auth,tech-debt,Sprint 4 - Infra,,Jessica_D,Jason_G,2023-02-09,2023-03-01,Blocked,Cultivate front-end mindshare,Sign with carry ball side doctor take.,v2.9.3,Team Hydra,,2023-02-06,2023-02-22,,,,,Vickie_R
NOVA-024,Epic,Low,Database;Auth,tech-debt,Sprint 4 - Infra,,Jessica_D,Jason_G,2023-02-09,2023-03-01,Blocked,Cultivate front-end mindshare,Sign with carry ball side doctor take.,v2.9.3,Team Hydra,,2023-02-06,2023-02-22,,,,,Nicolas_O
NOVA-025,Project,Minor,Auth;Payments,security;ux;sprint-goal,Sprint 2 - Nova,CoreBankingApp_Wallet,John_H,Joe_T,2023-06-22,2023-08-18,Release,Iterate open-source infrastructures,Cover hit picture light television interview city lot save talk way.,v1.1.5-beta,Team Hydra,81,2023-06-16,2023-08-01,3,,,,
NOVA-025,Project,Minor,Auth;Payments,security;ux;sprint-goal,Sprint 2 - Nova,CoreBankingApp_Wallet,John_H,Joe_T,2023-06-22,2023-08-18,Release,Iterate open-source infrastructures,Cover hit picture light television interview city lot save talk way.,v1.1.5-beta,Team Hydra,81,2023-06-16,2023-08-01,3,,FEAT-018,duplicates,
NOVA-025,Project,Minor,Auth;Payments,security;ux;sprint-goal,Sprint 2 - Nova,CoreBankingApp_Wallet,John_H,Joe_T,2023-06-22,2023-08-18,Release,Iterate open-source infrastructures,Cover hit picture light television interview city lot save talk way.,v1.1.5-beta,Team Hydra,81,2023-06-16,2023-08-01,3,,NOVA-001,cloned by,
NOVA-025,Project,Minor,Auth;Payments,security;ux;sprint-goal,Sprint 2 - Nova,CoreBankingApp_Wallet,John_H,Joe_T,2023-06-22,2023-08-18,Release,Iterate open-source infrastructures,Cover hit picture light television interview city lot save talk way.,v1.1.5-beta,Team Hydra,81,2023-06-16,2023-08-01,3,,,,Phillip_R
NOVA-025,Project,Minor,Auth;Payments,security;ux;sprint-goal,Sprint 2 - Nova,CoreBankingApp_Wallet,John_H,Joe_T,2023-06-22,2023-08-18,Release,Iterate open-source infrastructures,Cover hit picture light television interview city lot save talk way.,v1.1.5-beta,Team Hydra,81,2023-06-16,2023-08-01,3,,,,Jennifer_W
NOVA-025,Project,Minor,Auth;Payments,security;ux;sprint-goal,Sprint 2 - Nova,CoreBankingApp_Wallet,John_H,Joe_T,2023-06-22,2023-08-18,Release,Iterate open-source infrastructures,Cover hit picture light television interview city lot save talk way.,v1.1.5-beta,Team Hydra,81,2023-06-16,2023-08-01,3,,,,Vickie_R
NOVA-026,Business Outcome,Low,NFC,security;performance;sprint-goal,Sprint 2 - Infra,MobileApp_Global,Lori_S,Jason_G,2023-10-27,2023-11-09,Release,Synergize 24/365 vortals,Dream professor place police forget style notice word second lawyer.,v2.8.1,Team Hydra,,2023-10-19,2023-10-31,5,,,,
NOVA-027,Bug,Low,NFC;Mobile UI,sprint-goal,Sprint 5 - General,MobileApp_Global,Linda_C,Alison_S,2023-10-29,2023-11-06,Closed,Innovate next-generation relationships,Agency too I nor maybe air.,v1.6.1-hotfix,Team Phoenix,57,2023-10-29,2023-10-29,3,,,,
NOVA-027,Bug,Low,NFC;Mobile UI,sprint-goal,Sprint 5 - General,MobileApp_Global,Linda_C,Alison_S,2023-10-29,2023-11-06,Closed,Innovate next-generation relationships,Agency too I nor maybe air.,v1.6.1-hotfix,Team Phoenix,57,2023-10-29,2023-10-29,3,,NOVA-017,cloned by,
NOVA-027,Bug,Low,NFC;Mobile UI,sprint-goal,Sprint 5 - General,MobileApp_Global,Linda_C,Alison_S,2023-10-29,2023-11-06,Closed,Innovate next-generation relationships,Agency too I nor maybe air.,v1.6.1-hotfix,Team Phoenix,57,2023-10-29,2023-10-29,3,,NOVA-020,sub-task of,
NOVA-027,Bug,Low,NFC;Mobile UI,sprint-goal,Sprint 5 - General,MobileApp_Global,Linda_C,Alison_S,2023-10-29,2023-11-06,Closed,Innovate next-generation relationships,Agency too I nor maybe air.,v1.6.1-hotfix,Team Phoenix,57,2023-10-29,2023-10-29,3,,,,John_H
NOVA-028,Business Outcome,Low,,ux,Sprint 1 - Nova,,Bradley_S,Jennifer_W,2023-06-16,2023-06-16,Open,Generate b2c roi,With enter figure carry lawyer within whom.,v1.6.5-RC,Team Hydra,,2023-06-14,2023-06-15,8,,,,
NOVA-028,Business Outcome,Low,,ux,Sprint 1 - Nova,,Bradley_S,Jennifer_W,2023-06-16,2023-06-16,Open,Generate b2c roi,With enter figure carry lawyer within whom.,v1.6.5-RC,Team Hydra,,2023-06-14,2023-06-15,8,,FEAT-010,duplicates,
NOVA-028,Business Outcome,Low,,ux,Sprint 1 - Nova,,Bradley_S,Jennifer_W,2023-06-16,2023-06-16,Open,Generate b2c roi,With enter figure carry lawyer within whom.,v1.6.5-RC,Team Hydra,,2023-06-14,2023-06-15,8,,NOVA-011,relates to,
NOVA-028,Business Outcome,Low,,ux,Sprint 1 - Nova,,Bradley_S,Jennifer_W,2023-06-16,2023-06-16,Open,Generate b2c roi,With enter figure carry lawyer within whom.,v1.6.5-RC,Team Hydra,,2023-06-14,2023-06-15,8,,,,David_T
NOVA-028,Business Outcome,Low,,ux,Sprint 1 - Nova,,Bradley_S,Jennifer_W,2023-06-16,2023-06-16,Open,Generate b2c roi,With enter figure carry lawyer within whom.,v1.6.5-RC,Team Hydra,,2023-06-14,2023-06-15,8,,,,Maria_E
NOVA-028,Business Outcome,Low,,ux,Sprint 1 - Nova,,Bradley_S,Jennifer_W,2023-06-16,2023-06-16,Open,Generate b2c roi,With enter figure carry lawyer within whom.,v1.6.5-RC,Team Hydra,,2023-06-14,2023-06-15,8,,,,Matthew_D
